	Row.names	domain	phylum	class	order	family	genus	species	LBT-5	LBT-7	LBT-90	LBT-92	LBT-94	LBT-97	LBT89	LBT96	EPR-BT43	EPR-BT44	EPR-BT50	EPR-BT51	EPR-BT65	EPR-BT66	EPR-BT71
68	ASV_10058	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Candidatus Thiobios	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69	ASV_10059	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70	ASV_1006	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas	NA	0	0	0	0	0	0	0	0	0	0	0	0	32	17	0
71	ASV_10060	Bacteria	Campilobacterota	Desulfurellia	Desulfurellales	Hippeaceae	Hippea	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	ASV_10061	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	ASV_10062	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
74	ASV_10063	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75	ASV_10064	Bacteria	Aquificota	Aquificae	Hydrogenothermales	Hydrogenothermaceae	Persephonella	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76	ASV_10065	Bacteria	Patescibacteria	Gracilibacteria	JGI 0000069-P22	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77	ASV_10066	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78	ASV_10067	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79	ASV_10068	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta 2	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80	ASV_10069	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	MB11C04 marine group	NA	0	0	0	0	0	0	0	0	0	5	1	0	0	29	0
81	ASV_1007	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Thioreductoraceae	Thioreductor	NA	0	0	0	0	0	0	0	0	0	17	1	0	0	0	0
82	ASV_10070	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83	ASV_10071	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	Carboxylicivirga	NA	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
84	ASV_10072	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Crocinitomix	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85	ASV_10073	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	Dasania	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86	ASV_10074	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia	NA	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
87	ASV_10075	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	NA	NA	NA	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0
88	ASV_10076	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family_4	Marinicella	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
89	ASV_10077	Bacteria	NB1-j	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	ASV_10078	Bacteria	Patescibacteria	Gracilibacteria	JGI 0000069-P22	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
91	ASV_10079	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
92	ASV_1008	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93	ASV_10080	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0
94	ASV_10081	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95	ASV_10082	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
96	ASV_10083	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
97	ASV_10084	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
98	ASV_10085	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
99	ASV_10086	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100	ASV_10087	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	14	0	14	0	0	0
101	ASV_10088	Bacteria	NB1-j	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	9	7	0	4	4	0
102	ASV_10089	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Rubritalea	NA	0	0	0	0	0	0	0	0	0	6	0	0	0	0	6
103	ASV_1009	Bacteria	Campilobacterota	Campylobacteria	Nautiliales	Nautiliaceae	NA	NA	0	0	0	0	0	0	0	0	0	5	0	0	3	0	0
104	ASV_10090	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105	ASV_10091	Bacteria	Planctomycetota	OM190	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
106	ASV_10092	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107	ASV_10093	Bacteria	Verrucomicrobiota	Kiritimatiellae	Kiritimatiellales	Kiritimatiellaceae	R76-B128	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	ASV_10094	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0
109	ASV_10095	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Marinifilum	NA	0	0	0	0	0	0	0	0	0	6	0	0	3	0	0
110	ASV_10096	Bacteria	Marinimicrobia (SAR406 clade)	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	2	3	0	4	3	0
111	ASV_10097	Bacteria	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	14	18	0	0	0
112	ASV_10098	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113	ASV_10099	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	10	0	3	0	0	0
114	ASV_101	NA	NA	NA	NA	NA	NA	NA	9195	16669	7	10	0	0	88	7	0	0	0	0	0	0	0
115	ASV_1010	Bacteria	Patescibacteria	Gracilibacteria	JGI 0000069-P22	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	2394	0
116	ASV_10100	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
117	ASV_10101	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	NA	NA	0	0	0	0	0	0	0	0	0	2	0	3	0	29	0
118	ASV_10102	Bacteria	Patescibacteria	Gracilibacteria	JGI 0000069-P22	NA	NA	NA	0	0	0	0	0	0	0	0	0	19	6	9	5	4	0
119	ASV_10103	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	6	25	14	0	0	0
120	ASV_10104	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	12	0	2	30	0	0
121	ASV_10105	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
122	ASV_10106	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
123	ASV_10107	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
124	ASV_10108	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
125	ASV_10109	Bacteria	Proteobacteria	Gammaproteobacteria	Thiomicrospirales	Thiomicrospiraceae	endosymbionts_2	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126	ASV_1011	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127	ASV_10110	Bacteria	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
128	ASV_10111	Bacteria	NB1-j	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
129	ASV_10112	Bacteria	Proteobacteria	Alphaproteobacteria	Parvibaculales	OCS116 clade	NA	NA	0	0	0	0	0	0	0	0	0	0	7	30	0	0	0
130	ASV_10113	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
131	ASV_10114	Bacteria	Myxococcota	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132	ASV_10115	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	2	0	31	2
133	ASV_10116	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	14	13	8	0	4	0
134	ASV_10117	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	7	26	9	2	0	0
135	ASV_10118	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0
136	ASV_10119	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Henriciella	NA	0	0	0	0	0	0	0	0	0	0	31	19	0	0	0
137	ASV_1012	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Sedimenticolaceae	Sedimenticola	NA	0	0	0	0	0	0	0	0	0	27	10	0	27	0	0
138	ASV_10120	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Sulfurovaceae	Nitratifractor	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139	ASV_10121	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0
140	ASV_10122	Bacteria	Patescibacteria	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
141	ASV_10123	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
142	ASV_10124	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143	ASV_10125	Bacteria	Patescibacteria	Gracilibacteria	JGI 0000069-P22	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
144	ASV_10126	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
145	ASV_10127	Bacteria	Patescibacteria	Gracilibacteria	JGI 0000069-P22	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
146	ASV_10128	Bacteria	Chloroflexi	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
147	ASV_10129	Bacteria	Firmicutes	Bacilli	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
148	ASV_1013	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	AB1	NA	NA	0	0	0	0	0	0	0	0	0	14	15	0	5	27	0
149	ASV_10130	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
150	ASV_10131	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Moritellaceae	Moritella	NA	0	0	21	11	0	0	0	0	0	0	0	0	0	0	0
151	ASV_10132	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
152	ASV_10133	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
153	ASV_10134	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
154	ASV_10135	Bacteria	Nitrospirota	Thermodesulfovibrionia	Thermodesulfovibrionales	Thermodesulfovibrionaceae	Thermodesulfovibrio	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
155	ASV_10136	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156	ASV_10137	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	21	11	0	0	0	0	0	0	0	0	0
157	ASV_10138	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	3	12	0	0	0	0	0	0	0	0	0	0	0	0	0
158	ASV_10139	Bacteria	DTB120	NA	NA	NA	NA	NA	5	11	0	1	3	0	0	0	0	0	0	0	0	0	0
159	ASV_1014	Bacteria	Proteobacteria	Zetaproteobacteria	Mariprofundales	Mariprofundaceae	Mariprofundus	NA	0	0	973	677	540	187	0	0	0	0	0	0	0	0	0
160	ASV_10140	NA	NA	NA	NA	NA	NA	NA	10	15	0	0	0	0	0	0	0	0	0	0	0	0	0
161	ASV_10141	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	NA	2	19	0	0	0	0	0	0	0	0	0	0	0	0	0
162	ASV_10142	Bacteria	Verrucomicrobiota	Kiritimatiellae	Kiritimatiellales	Kiritimatiellaceae	R76-B128	NA	4	18	1	11	0	0	0	0	0	0	0	0	0	0	0
163	ASV_10143	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA	0	9	11	11	0	0	0	0	0	0	0	0	0	0	0
164	ASV_10144	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86 clade	NA	NA	NA	4	5	6	4	0	4	0	0	0	0	0	0	0	0	0
165	ASV_10145	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Pseudofulvibacter	NA	5	0	11	9	0	7	0	0	0	0	0	0	0	0	0
166	ASV_10146	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	Alcaligenes	NA	0	0	8	22	10	9	0	0	0	0	0	0	0	0	0
167	ASV_10147	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
168	ASV_10148	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
169	ASV_10149	Bacteria	Deferribacterota	Deferribacteres	Deferribacterales	Deferribacteraceae	Deferribacter	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
170	ASV_1015	Bacteria	Campilobacterota	Desulfurellia	Desulfurellales	Hippeaceae	Hippea	NA	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
171	ASV_10150	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Psychromonadaceae	Psychromonas	NA	0	3	11	11	2	0	0	0	0	0	0	0	0	0	0
172	ASV_10151	Bacteria	Patescibacteria	Microgenomatia	Candidatus Pacebacteria	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
173	ASV_10152	NA	NA	NA	NA	NA	NA	NA	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
174	ASV_10153	Bacteria	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
175	ASV_10154	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Maritimimonas	NA	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
176	ASV_10155	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
177	ASV_10156	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	SCGC AAA286-E23	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
178	ASV_10157	Bacteria	NB1-j	NA	NA	NA	NA	NA	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
